"ts","ts_end","ts_delta","srcip","srcport","dstip","conn_dir","bytes_vol","pkt_vol"
1475795403000,1475795462000,59000,854153670,21921,-1062729170,0,3139,18
1475795403000,1475795462000,59000,854153670,9156,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,26639,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,45350,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,24498,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,34554,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,24498,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,16164,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,27248,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,50243,-1062729170,1,3637,22
1475795463000,1475795583000,120000,854153670,41143,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,62016,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,34717,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,19914,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,31047,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,7895,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,60007,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,5085,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,16164,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,62016,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,60723,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,16165,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,36553,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,31047,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,50243,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,64660,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,37574,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,37574,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,41649,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,19914,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,34717,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,64660,-1062729170,0,3087,17
1475795463000,1475795583000,120000,854153670,41143,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,5085,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,60723,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,36553,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,16165,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,60007,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,27248,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,7895,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,61204,-1062729170,1,596,8
1475795463000,1475795522000,59000,854153670,41649,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,34554,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,61204,-1062729170,0,520,6
1475795523000,1475795583000,60000,854153670,11417,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,52380,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,2314,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,52296,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,30021,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,22289,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,52296,-1062729170,0,3087,17
1475795523000,1475795643000,120000,854153670,25219,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,43778,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,38840,-1062729170,0,3099,17
1475795523000,1475795583000,60000,854153670,45768,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,11417,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,35147,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,43778,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,51570,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,32793,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,22289,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,2164,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,2314,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,38039,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,35147,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,32793,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,38840,-1062729170,1,3653,22
1475795523000,1475795583000,60000,854153670,51932,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,2164,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,38039,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,43618,-1062729170,0,3191,18
1475795523000,1475795583000,60000,854153670,60308,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,60308,-1062729170,0,3087,17
1475795523000,1475795643000,120000,854153670,25219,-1062729170,1,3573,22
1475795523000,1475795583000,60000,854153670,51570,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,45768,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,51932,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,43618,-1062729170,1,3701,23
1475795523000,1475795583000,60000,854153670,52380,-1062729170,0,3087,17
1475795523000,1475795583000,60000,854153670,30021,-1062729170,1,3637,22
1475795545000,1475795663000,118000,1607859387,35808,168428808,0,3507,15
1475795545000,1475795663000,118000,1607859387,35808,168428808,1,2259,19
1475795583000,1475795643000,60000,854153670,34816,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,21258,-1062729170,1,3573,22
1475795583000,1475795643000,60000,854153670,39795,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,11724,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,46141,-1062729170,1,3701,23
1475795583000,1475795643000,60000,854153670,40703,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,34816,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,3856,-1062729170,0,3191,18
1475795583000,1475795643000,60000,854153670,3856,-1062729170,1,3701,23
1475795583000,1475795643000,60000,854153670,20593,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,17091,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,11724,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,5392,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,39795,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,62676,-1062729170,1,3701,23
1475795583000,1475795643000,60000,854153670,62676,-1062729170,0,3191,18
1475795583000,1475795643000,60000,854153670,24763,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,21258,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,20593,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,38442,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,40703,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,59148,-1062729170,0,3191,18
1475795583000,1475795643000,60000,854153670,17091,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,25435,-1062729170,1,3573,22
1475795583000,1475795643000,60000,854153670,34625,-1062729170,0,3191,18
1475795583000,1475795643000,60000,854153670,21897,-1062729170,0,3191,18
1475795583000,1475795643000,60000,854153670,38504,-1062729170,0,3087,17
1475795583000,1475795703000,120000,854153670,14459,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,4110,-1062729170,1,3573,22
1475795583000,1475795643000,60000,854153670,34625,-1062729170,1,3701,23
1475795583000,1475795703000,120000,854153670,14459,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,46141,-1062729170,0,3191,18
1475795583000,1475795643000,60000,854153670,4110,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,5392,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,21897,-1062729170,1,3637,23
1475795583000,1475795643000,60000,854153670,25435,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,38442,-1062729170,0,3087,17
1475795583000,1475795643000,60000,854153670,59148,-1062729170,1,3701,23
1475795583000,1475795643000,60000,854153670,24763,-1062729170,1,3637,22
1475795583000,1475795643000,60000,854153670,38504,-1062729170,1,3637,22
1475795643000,1475795703000,60000,854153670,10116,-1062729170,0,3087,17
1475795643000,1475795703000,60000,854153670,10140,-1062729170,0,3087,17
1475795643000,1475795703000,60000,854153670,12673,-1062729170,1,3701,23
1475795643000,1475795703000,60000,854153670,3066,-1062729170,0,3191,18
1475795643000,1475795703000,60000,854153670,10140,-1062729170,1,3637,22
1475795643000,1475795703000,60000,854153670,21117,-1062729170,1,3637,22
1475795643000,1475795703000,60000,854153670,46298,-1062729170,0,3087,17
1475795643000,1475795703000,60000,854153670,46298,-1062729170,1,3637,22
1475795643000,1475795703000,60000,854153670,14165,-1062729170,1,3637,22
1475795643000,1475795703000,60000,854153670,17271,-1062729170,1,3701,23
1475795643000,1475795703000,60000,854153670,39500,-1062729170,0,3087,17
1475795643000,1475795763000,120000,854153670,53354,-1062729170,1,3637,22
1475795643000,1475795703000,60000,854153670,4231,-1062729170,0,3087,17
1475795643000,1475795703000,60000,854153670,4231,-1062729170,1,3637,22
1475795643000,1475795703000,60000,854153670,64605,-1062729170,1,3701,23
1475795643000,1475795703000,60000,854153670,21117,-1062729170,0,3087,17
